UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",528,"R",27312541,"R",1,"R",40753,"Z",0,"Z",0,"R",7,"R",268727,"R",85,"R",7868205,"R",30,"R",1440082,"R",41,"R",1923850,"R",109,"R",6105802,"Z",0,"Z",0,"R",36,"R",1154690,"R",1,"R",32198,"R",196,"R",7824563,"R",18,"R",553178,"R",4,"R",100493
100663,"R",3240,"R",187752783,"Z",0,"Z",0,"Z",0,"Z",0,"R",150,"R",8465319,"R",314,"R",36383045,"R",539,"R",32930654,"R",527,"R",36782424,"R",203,"R",12168000,"R",82,"R",4966857,"R",539,"R",17096796,"Z",0,"Z",0,"R",509,"R",20551701,"R",294,"R",14805558,"R",83,"R",3602429
100690,"R",27,"R",1944048,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",556336,"R",3,"R",502943,"R",6,"R",480414,"R",4,"R",269671,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",93552,"R",1,"R",41132,"Z",0,"Z",0
100706,"R",998,"R",67586631,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",678889,"R",102,"R",13829277,"R",82,"R",4200226,"R",403,"R",32588307,"R",78,"R",3799360,"R",3,"R",238651,"R",113,"R",3728180,"Z",0,"Z",0,"R",182,"R",7605518,"R",19,"R",893946,"R",1,"R",24277
100724,"R",546,"R",25003594,"R",3,"R",124000,"Z",0,"Z",0,"R",72,"R",2970608,"R",70,"R",6422071,"R",37,"R",1678560,"R",24,"R",1247602,"R",85,"R",4457834,"R",2,"R",86000,"R",118,"R",3272051,"R",5,"R",137497,"R",94,"R",3393219,"R",31,"R",1085816,"R",5,"R",128336
100733,"R",89,"R",11736072,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",4011779,"R",21,"R",2171930,"R",5,"R",372115,"R",21,"R",3648020,"Z",0,"Z",0,"R",3,"R",177642,"Z",0,"Z",0,"R",24,"R",1354586,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",4368,"R",248963384,"Z",0,"Z",0,"Z",0,"Z",0,"R",186,"R",8611242,"R",562,"R",64676931,"R",508,"R",29852787,"R",467,"R",29125039,"R",519,"R",31939632,"R",215,"R",11619281,"R",691,"R",26209802,"R",29,"R",830267,"R",838,"R",28902700,"R",224,"R",12133794,"R",129,"R",5061909
100760,"R",66,"R",3719029,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",176195,"R",18,"R",1640892,"R",5,"R",219141,"R",1,"R",50415,"R",1,"R",52368,"Z",0,"Z",0,"R",13,"R",437966,"Z",0,"Z",0,"R",24,"R",1142052,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",145,"R",8655581,"Z",0,"Z",0,"Z",0,"Z",0,"R",24,"R",1566562,"R",28,"R",2794211,"R",6,"R",315140,"R",12,"R",776820,"R",9,"R",386420,"Z",0,"Z",0,"R",9,"R",372585,"Z",0,"Z",0,"R",47,"R",1940650,"R",8,"R",410426,"R",2,"R",92767
100830,"R",325,"R",16105811,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",669030,"R",97,"R",7126976,"R",15,"R",958110,"R",36,"R",2266070,"R",14,"R",602110,"R",3,"R",177600,"R",35,"R",930615,"R",3,"R",82910,"R",100,"R",3263260,"Z",0,"Z",0,"R",1,"R",29130
100858,"R",3779,"R",233410798,"R",21,"R",1742405,"R",254,"R",15999295,"R",116,"R",6974586,"R",495,"R",61511326,"R",353,"R",21448116,"R",576,"R",33554908,"R",593,"R",36694019,"R",32,"R",2760870,"R",318,"R",11218133,"R",3,"R",126160,"R",639,"R",24650617,"R",317,"R",14071775,"R",62,"R",2658588
100937,"R",196,"R",9908628,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",1067032,"R",33,"R",2996016,"R",10,"R",519051,"R",10,"R",531112,"R",53,"R",2208707,"R",5,"R",195319,"R",17,"R",690737,"R",1,"R",30147,"R",34,"R",1242089,"R",10,"R",398986,"R",1,"R",29432
101028,"R",51,"R",3470411,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",191646,"R",14,"R",1993090,"R",2,"R",144687,"R",1,"R",45869,"R",1,"R",46228,"Z",0,"Z",0,"R",4,"R",148208,"R",1,"R",46228,"R",21,"R",784997,"R",2,"R",69458,"Z",0,"Z",0
101073,"R",72,"R",2787000,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",835000,"R",7,"R",560000,"R",5,"R",186000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",300000,"R",18,"R",696000,"R",6,"R",210000,"Z",0,"Z",0,"Z",0,"Z",0
